image_path,group,group_source,label,class_id,meaning,advice
dataset_aug/Prohibitory Signs/P.101/1.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_blur.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_bright.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_dark.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_original.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_persp1.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_persp2.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_rot-10.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_rot-20.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_rot-30.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_rot-45.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_rot10.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_rot20.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_rot30.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_rot45.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_shear_5deg.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_zoom_in.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.101/1_zoom_out.png,cấm,Prohibitory Signs,P.101,,Đường cấm (cấm mọi phương tiện cả 2 hướng),"Tuyệt đối không đi vào, vi phạm bị xử phạt nặng."
dataset_aug/Prohibitory Signs/P.102/1.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_blur.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_bright.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_dark.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_original.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_persp1.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_persp2.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_rot-10.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_rot-20.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_rot-30.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_rot-45.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_rot10.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_rot20.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_rot30.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_rot45.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_blur.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_bright.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_dark.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_original.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_persp1.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_persp2.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_rot-10.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_rot-20.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_rot-30.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_rot-45.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_rot10.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_rot20.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_rot30.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_rot45.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_shear_5deg.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_shear_m5deg.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_zoom_in.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_shear_5deg_zoom_out.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_zoom_in.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.102/1_zoom_out.png,cấm,Prohibitory Signs,P.102,,Cấm đi ngược chiều,Không được đi vào theo chiều đặt biển. Đây là đường một chiều.
dataset_aug/Prohibitory Signs/P.103a/1.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_blur.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_bright.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_dark.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_original.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_persp1.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_persp2.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_rot-10.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_rot-20.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_rot-30.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_rot-45.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_rot10.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_rot20.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_rot30.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_rot45.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_shear_5deg.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_shear_m5deg.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_zoom_in.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103a/1_zoom_out.png,cấm,Prohibitory Signs,P.103a,,Cấm ô tô,"Cấm tất cả ô tô, xe máy ba bánh có thùng. Xe máy 2 bánh vẫn được."
dataset_aug/Prohibitory Signs/P.103b/1.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_blur.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_bright.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_dark.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_original.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_persp1.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_persp2.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_rot-10.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_rot-20.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_rot-30.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_rot-45.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_rot10.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_rot20.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_rot30.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_rot45.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_shear_5deg.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_shear_m5deg.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_zoom_in.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103b/1_zoom_out.png,cấm,Prohibitory Signs,P.103b,,Cấm ô tô rẽ phải,Ô tô không được rẽ phải. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_blur.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_bright.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_dark.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_original.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_persp1.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_persp2.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_rot-10.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_rot-20.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_rot-30.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
