group,true,top1_label,top2_label,top3_label,top1,top2,top3,score
Information Signs,I.401,HTTP_400,,,False,False,False,0.0
Information Signs,I.401,W.201a,W.201b,W.223b,False,False,False,0.8167560806980839
Information Signs,I.401,W.201a,W.201b,W.223b,False,False,False,0.8250891190988046
Information Signs,I.401,W.209,W.207e,W.238,False,False,False,0.7454167560294822
Information Signs,I.401,W.201a,W.201b,W.209,False,False,False,0.8078126024316858
Information Signs,I.401,W.201a,W.201b,W.209,False,False,False,0.8198897397076642
Information Signs,I.401,HTTP_400,,,False,False,False,0.0
Information Signs,I.401,W.209,W.207h,W.218,False,False,False,0.7651652759975857
Information Signs,I.402,HTTP_400,,,False,False,False,0.0
Information Signs,I.402,HTTP_400,,,False,False,False,0.0
Information Signs,I.402,I.402,I.401,I.412,True,True,True,0.7506700886620414
Information Signs,I.403,I.404,I.403,I.449,False,True,True,0.8130812291745786
Information Signs,I.404,I.404,I.403,I.449,True,True,True,0.8130812291745786
Information Signs,I.405a,I.405a,I.405b,I.426,True,True,True,0.8595594300164116
Information Signs,I.405b,I.405a,I.405b,I.426,False,True,True,0.8486828627409757
Information Signs,I.405c,I.405c,I.406c,I.406b,True,True,True,0.884147493927567
Information Signs,I.406,I.406c,I.406b,I.406,False,False,True,0.8836729968035661
Information Signs,I.406b,I.406c,I.406b,I.406,False,True,True,0.8836729968035661
Information Signs,I.406c,I.406c,I.406b,I.406,True,True,True,0.8836729968035661
Information Signs,I.407a,I.407d,I.407a,I.406c,False,True,True,0.886595743673819
Information Signs,I.407b,I.407d,I.407a,I.406,False,False,False,0.8163229271217628
Information Signs,I.407c,I.407d,I.407a,I.406c,False,False,False,0.8148945349234121
Information Signs,I.407d,I.407d,I.407a,I.406c,True,True,True,0.886595743673819
Information Signs,I.408,I.408,I.408a,"R.E,9c",True,True,True,0.8798993605154531
Information Signs,I.408a,I.408a,I.408,R.403a,True,True,True,0.883758474279333
Information Signs,I.409,I.409,I.410,I.406c,True,True,True,0.8829143400545473
Information Signs,I.410,I.410,I.409,I.406c,True,True,True,0.8799262488329851
Information Signs,I.411,I.412,I.411,I.401,False,True,True,0.8751654271726255
Information Signs,I.412,I.412,I.411,I.401,True,True,True,0.8751654271726255
Information Signs,I.413a,I.413a,I.413c,I.413b,True,True,True,0.8845888332084372
Information Signs,I.413b,I.413b,I.413c,I.413a,True,True,True,0.883937464820014
Information Signs,I.413c,I.413c,I.413b,I.413a,True,True,True,0.8850317619465015
Information Signs,I.414a,I.414a,I.414b,I.414d,True,True,True,0.8336217403411864
Information Signs,I.414b,I.414b,I.414a,I.414d,True,True,True,0.8284929593404133
Information Signs,I.414c,I.414c,I.414d,I.414a,True,True,True,0.8561110143308286
Information Signs,I.414d,I.414c,I.414d,I.414a,False,True,True,0.8524310677139847
Information Signs,I.415,I.414b,I.415,I.419a,False,True,True,0.7599234227780942
Information Signs,I.416,I.416,I.414b,I.414a,True,True,True,0.8558519328082048
Information Signs,I.417a,I.417a,I.417b,I.417c,True,True,True,0.8050388406824182
Information Signs,I.417b,I.417a,I.417c,I.417b,False,False,True,0.8016950201105187
Information Signs,I.417c,I.417c,I.417a,I.447a,True,True,True,0.8142692601239239
Information Signs,I.418,I.418,I.447d,I.408,True,True,True,0.7881284289889865
Information Signs,I.419a,I.419a,I.419b,I.414b,True,True,True,0.8501031310470015
Information Signs,I.419b,I.419b,I.419a,I.414b,True,True,True,0.8657558847356724
Information Signs,I.420,I.434a,I.421,I.420,False,False,True,0.8543311313346579
Information Signs,I.421,I.434a,I.421,I.420,False,True,True,0.8543311313346579
Information Signs,I.422a,I.422a,I.422b,I.419b,True,True,True,0.8128940705899839
Information Signs,I.422b,I.422b,I.422a,I.414b,True,True,True,0.8472498346258092
Information Signs,I.423a,I.423a,I.423b,I.424d,True,True,True,0.8843461319252296
Information Signs,I.423b,I.423b,I.423a,I.424d,True,True,True,0.8842467025474264
Information Signs,I.423c,I.423c,I.423b,I.423a,True,True,True,0.8432095227418122
Information Signs,I.424a,I.424a,I.424c,I.424d,True,True,True,0.8766412823288529
Information Signs,I.424b,I.424b,I.424d,I.424c,True,True,True,0.8777328862084282
Information Signs,I.424c,I.424c,I.424d,I.424b,True,True,True,0.8831218083699544
Information Signs,I.424d,I.424d,I.424c,I.424b,True,True,True,0.8819030479148581
Information Signs,I.425,I.425,I.426,I.432,True,True,True,0.8798186514112684
Information Signs,I.426,I.426,I.425,I.405a,True,True,True,0.8339311988265425
Information Signs,I.427a,I.427a,I.431,I.433b,True,True,True,0.8123225282739709
Information Signs,I.427b,I.427b,I.435,I.433b,True,True,True,0.867425830275924
Information Signs,I.428,I.428,I.438,W.247,True,True,True,0.8844693148577654
Information Signs,I.428a,I.428a,I.408a,I.408,True,True,True,0.8554539062358714
Information Signs,I.429,I.429,I.435,I.434a,True,True,True,0.8623899883694118
Information Signs,I.430,I.430,I.433d,I.445h,True,True,True,0.8446712052380596
Information Signs,I.431,I.431,I.427a,I.435,True,True,True,0.8514542579650878
Information Signs,I.432,I.432,I.425,I.434b,True,True,True,0.8570301621048538
Information Signs,I.433a,I.433a,I.447a,I.434b,True,True,True,0.8367929282011808
Information Signs,I.433b,I.433b,I.443,I.433d,True,True,True,0.8417478843971534
Information Signs,I.433c,I.433c,I.433d,I.413b,True,True,True,0.8504586396393952
Information Signs,I.433d,I.433d,I.433c,I.433e,True,True,True,0.8381682060382983
Information Signs,I.433e,I.433e,I.433b,I.433d,True,True,True,0.8409101521527325
Information Signs,I.434a,I.434a,I.421,I.420,True,True,True,0.8543311313346579
Information Signs,I.434b,I.434b,I.434a,I.421,True,True,True,0.8588551680246989
Information Signs,I.435,I.435,I.434a,I.421,True,True,True,0.861542851836593
Information Signs,I.436,I.436,I.444a,I.405c,True,True,True,0.8574481451952898
Information Signs,I.437,I.437,I.413b,I.405c,True,True,True,0.8489578829871283
Information Signs,I.438,I.438,I.428,W.247,True,True,True,0.8844158914354111
Information Signs,I.439,I.414c,I.414d,I.419a,False,False,False,0.7594027872438783
Information Signs,I.440,I.440,I.414c,I.419b,True,True,True,0.7136778125056513
Information Signs,I.441a,I.441a,I.441c,I.441b,True,True,True,0.8350588304025155
Information Signs,I.441b,I.441b,I.441c,I.441a,True,True,True,0.8315993768197518
Information Signs,I.441c,I.441c,I.441b,I.441a,True,True,True,0.8382303273236309
